mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
93.3226,38.8666,101.459,101.042,50.0516,0.294407,52.2365,-0.340877,-1,11,25.6071,-1.51605,61.1217,-3.07116,1,13,20.8721,1.31835,41.7947,-1.90338,-1,13,0.887456
98.4582,156.367,169.044,45.9739,154.722,-0.0277389,154.781,-0.184152,1,11,147.612,-0.414791,160.494,0.67053,-1,11,28.9968,0.393737,31.2736,-0.68598,1,11,0.635517
94.0556,14.3523,42.5794,78.2302,36.8565,0.596882,43.6191,-2.95081,1,11,34.9895,-0.495844,39.3796,-2.88519,-1,11,20.8323,1.81119,65.4259,0.343803,1,11,0.964861
99.8369,64.129,33.963,81.7098,55.6009,-0.524095,63.4134,-1.58628,-1,11,49.1507,-2.082,200.171,-1.39221,1,13,36.5187,-2.0358,142.221,3.04906,1,11,0.835554
87.4785,22.5729,56.6265,57.3991,54.6967,1.10109,91.3425,0.120077,1,11,35.0391,0.862648,48.9054,-2.76738,-1,11,25.4499,2.48299,153.469,-2.24504,-1,13,0.00264981
91.8076,38.7724,51.4965,61.6396,44.9085,-1.94271,159.896,-2.61772,1,13,38.8018,-0.72405,49.425,1.47674,-1,13,24.7041,-0.918374,35.8753,0.966287,-1,13,0.437529
87.4924,40.4851,57.0111,109.63,76.0554,-0.344701,80.6188,0.384641,-1,13,65.9515,1.27245,126.947,2.0263,1,13,28.4853,0.828957,38.8461,-0.759485,-1,13,1.20835
90.9626,79.5597,43.1337,85.3105,98.7638,0.970903,149.087,-0.627867,-1,11,49.3593,0.177922,50.1428,2.25001,1,13,22.0568,1.02482,34.6895,2.05741,1,11,1.18865
93.4548,62.8285,83.8033,141.928,62.6564,0.550815,72.4042,0.392714,-1,13,60.3392,0.430716,66.0232,1.01828,1,11,45.2502,1.14683,78.4152,2.32887,1,13,0.71857
94.3491,54.3015,97.3602,100.003,76.4679,1.40075,164.585,-2.32553,-1,13,30.9887,1.04479,49.4979,0.196716,1,13,28.2243,1.2155,51.771,-2.7789,-1,13,0.497784
94.1289,51.548,118.911,96.5426,61.2593,-0.485963,68.6364,3.0297,-1,13,30.3822,0.731937,38.8906,0.885749,1,13,25.1299,-1.44373,56.1967,-3.00867,1,13,1.6866
81.424,281.902,80.9155,63.3057,260.652,1.16741,459.377,-1.01365,1,13,28.8708,1.71053,82.465,-1.79403,-1,13,27.9188,0.244605,28.7582,1.44751,-1,11,1.13576
88.7368,230.759,106.863,74.3111,220.296,1.63914,588.726,-2.27738,1,13,126.343,0.84203,173.842,0.613201,-1,11,20.306,2.46579,120.391,-1.20889,-1,13,0.737971
85.1305,53.8541,96.3318,96.7961,68.3723,1.02372,107.439,-3.03462,-1,13,30.972,1.38417,65.6923,0.976115,1,13,28.5054,-0.252294,29.4176,0.721774,1,13,0.999421
85.4627,116.383,94.3142,82.1753,88.2154,-0.760299,114.964,-1.01907,-1,13,34.3834,0.532722,39.3789,-0.3041,1,13,21.8519,-0.11483,21.9961,-2.66879,-1,11,0.380648
99.228,61.5631,67.156,152.018,86.6009,-0.93423,127.223,1.86207,1,11,49.4732,-2.07203,199.547,-1.69011,-1,13,36.7124,-0.418239,39.9705,-0.11783,1,13,1.18623
87.0808,33.301,31.6337,87.6608,108.633,-0.396763,117.296,0.1133,1,13,53.4263,-1.81043,167.67,-0.240742,-1,13,20.2803,-0.241879,20.8767,2.80334,1,13,1.16263
83.6712,91.6031,90.9601,87.1212,75.9731,0.46523,84.3443,1.55283,-1,11,43.8202,1.01753,68.531,3.01845,1,11,22.6545,2.22509,106.05,-2.58248,1,13,1.19612
96.2204,107.744,85.9799,84.0585,118.025,-1.59429,302.61,-1.23633,-1,13,26.4129,-1.55594,65.3789,2.97061,1,13,20.9429,-0.141505,21.1529,-1.4624,1,11,0.728496
95.1379,104.221,31.9894,54.793,73.3173,-0.329755,77.3398,-2.34191,-1,13,55.5718,0.54242,63.9495,2.66923,1,13,26.397,0.572308,30.8393,1.21578,1,11,0.00272405
87.5399,50.5888,38.2692,44.5551,74.1515,-0.912134,107.197,-3.00963,1,13,27.4412,-0.343739,29.0786,0.493674,1,13,25.6862,-1.27591,49.5891,-0.201901,-1,13,0.636419
100.225,87.4694,80.1472,79.5876,104.568,1.38247,221.457,0.584726,-1,13,36.6323,0.357197,38.9943,-3.10003,1,13,28.458,1.38803,60.566,2.91394,1,13,0
95.3946,86.3773,76.8701,93.2183,63.6637,1.36676,132.98,-2.86975,1,11,41.0796,0.30753,43.0375,1.23698,1,11,37.3931,-0.124281,37.6822,2.27841,-1,11,0.635028
87.7048,26.5148,49.1677,78.3298,54.061,0.444023,59.4783,-0.522705,1,11,34.2331,-0.954176,51.0356,-1.06756,-1,11,31.0748,-0.360435,33.1152,2.94275,-1,11,1.08967
91.8936,42.0869,83.7147,145.364,64.294,1.17949,114.448,0.0205516,1,13,34.8389,0.475065,38.8447,1.07505,-1,11,20.1174,-2.02511,77.5415,2.53658,1,11,1.07174
91.6876,40.6605,105.912,107.712,60.43,1.81263,190.046,-3.00277,1,11,37.5327,1.36449,78.2413,0.859872,-1,11,29.9679,-1.55775,74.3019,-2.10845,-1,11,0.160775
83.3262,93.2271,89.7843,113.383,74.4936,-0.648745,90.7273,2.16621,1,13,36.7554,1.09741,61.2001,-1.35238,-1,11,20.116,-2.48952,122.088,1.74686,-1,13,0.568009
95.3366,69.1952,90.1161,73.9042,93.3999,-0.815558,126.222,0.536965,1,13,27.1803,-0.613555,32.4588,2.3803,-1,11,24.3215,-0.725038,30.9993,-2.68894,-1,13,1.03791
86.7833,77.5762,57.489,75.9014,41.1388,-0.0847618,41.2868,0.271881,1,13,40.8455,1.68913,114.357,0.930708,-1,13,25.302,0.709424,31.9406,-0.832261,1,11,1.20857
87.3212,59.5513,44.0315,71.573,109.192,0.105075,109.795,2.85377,1,11,79.6296,1.76735,239.927,-0.25401,-1,13,22.7642,1.16115,39.9142,2.46922,1,13,0.677192
89.8791,61.0103,92.8353,73.8377,58.6536,0.867743,82.157,-2.533,1,13,43.6614,0.161296,44.2307,-0.639499,-1,13,31.8331,1.91765,110.651,3.00706,-1,11,0.515373
94.2676,35.3826,124.241,96.5327,66.4834,-0.258113,68.7104,-2.91858,-1,11,31.1628,-0.791495,41.4443,0.268999,1,11,24.182,-2.35388,128.422,1.24343,1,11,1.07934
97.9948,76.4678,44.6497,70.815,89.8285,2.00163,338.484,1.04174,-1,13,31.0988,1.53915,75.8061,-2.57419,1,11,23.0659,0.913515,33.3787,-1.25594,1,13,0.541446
95.4066,45.4,35.1365,54.1371,69.4133,0.296263,72.4819,2.65516,1,11,46.5959,0.793399,62.0472,2.0784,-1,11,31.2426,0.973088,47.2392,0.0477101,-1,11,0.563117
96.2986,82.8446,33.4083,44.0237,80.7523,-0.450257,89.0771,-2.74269,-1,13,44.7098,-0.120637,45.0357,-0.940398,1,13,41.388,-1.01964,64.8327,-0.594068,1,13,1.19186
86.196,126.962,33.7069,72.7683,100.605,0.638269,121.803,2.98667,1,11,43.18,-0.229262,44.3199,1.03835,-1,13,26.8878,2.13634,115.436,2.76264,-1,11,0.673851
95.0673,26.1343,78.8822,80.6033,58.6761,1.24469,110.308,1.25235,1,13,35.6627,0.628153,42.933,-2.16082,-1,13,26.6745,1.20413,48.4652,2.34558,1,11,0
90.3057,72.2183,133.934,52.0122,54.9537,-0.902451,78.8919,-0.0212316,-1,11,51.5829,0.195941,52.5764,-1.32908,1,13,22.1304,2.37518,120.013,-0.888354,-1,13,0.851466
84.277,84.6041,33.6828,43.2771,89.4389,1.77537,271.532,-2.39596,1,11,26.0177,1.15319,45.3218,-0.492823,-1,11,22.3764,0.21345,22.888,1.74053,-1,11,0.676479
83.9161,139.274,79.5968,88.8486,121.248,1.67917,336.32,-1.60423,1,11,27.6485,0.603315,32.8349,-2.54835,-1,11,25.7571,2.05533,102.224,3.02965,-1,13,1.18747
98.6951,37.7592,56.1257,75.1866,52.2737,-0.0367842,52.3091,-2.06711,-1,11,31.4357,1.60445,81.3577,1.96252,1,11,21.335,-1.06472,34.6145,0.378587,-1,11,1.06516
87.9939,77.7446,88.9415,100.6,77.6783,-0.929974,113.76,-0.297856,1,11,35.5208,-0.344504,37.6495,1.5017,-1,11,28.9001,-0.498879,32.5716,-0.277785,1,11,0.555885
84.9892,26.7922,87.3803,88.9013,40.2966,-0.17755,40.9334,2.61228,-1,11,29.281,-1.36212,60.9126,-1.858,1,11,20.2867,1.78014,61.8674,-1.163,1,11,1.01402
82.4808,154.718,82.9988,84.2336,153.478,0.166815,155.619,2.65129,-1,11,24.2117,0.679606,30.0215,-1.70933,1,11,20.4948,0.552678,23.7054,1.07448,1,11,1.07601
98.5847,110.052,80.9796,98.2906,90.5089,1.80258,281.942,-1.03092,1,13,31.0575,-0.767811,40.6709,1.29614,-1,11,22.0339,-0.0599571,22.0738,-0.497342,-1,13,1.06734
87.0645,63.642,90.6113,74.4284,71.4239,1.06423,115.835,2.16708,1,13,39.9828,0.833043,54.6771,-2.80868,-1,11,20.3827,2.43695,117.461,0.0684272,-1,13,1.00973
81.1805,32.083,52.0515,64.4375,58.839,0.268359,60.9704,2.8319,-1,11,33.5931,1.3984,72.1533,-0.720904,1,13,26.764,0.695509,33.5025,-0.291695,1,11,1.15457
82.9492,55.2365,41.7736,59.702,48.2087,-2.46868,286.638,2.23593,-1,13,36.38,0.179109,36.9651,-1.26802,-1,11,28.8841,-0.932016,42.3642,0.626602,1,13,0.672331
91.9685,26.4023,65.3404,80.7752,30.1298,-0.768641,39.4774,2.59131,-1,13,29.9176,1.31479,59.7232,0.360201,1,13,27.6833,-0.415132,30.1033,-1.68701,-1,13,0.626816
85.6619,49.4358,86.1566,83.9471,49.974,0.24948,51.5372,-3.02318,1,11,38.3152,1.01968,60.0214,2.06171,-1,11,29.3819,1.66801,80.6565,-1.13488,-1,11,0.163224
97.811,48.5777,68.3584,56.392,60.2772,0.0265412,60.2984,-0.387512,1,11,55.7509,0.302188,58.3159,-2.38225,-1,11,30.5724,1.34154,62.4651,-2.60074,-1,11,0.659607
99.8237,45.9552,93.9323,76.2473,71.6537,1.25244,135.593,1.4314,1,11,36.688,0.988646,56.1268,-2.56034,-1,13,32.0772,0.512602,36.3846,-2.20235,-1,11,0.570149
90.8779,47.8453,108.854,81.8842,69.6945,-0.867367,97.5965,2.7537,1,13,38.8122,-0.135683,39.1701,2.08978,-1,13,29.263,-1.46692,66.8146,0.186449,-1,13,0.872851
85.9478,24.5994,50.9043,115.792,72.8355,-0.271846,75.5434,1.23246,-1,13,47.5038,1.00944,73.8325,2.76748,1,11,25.1279,2.40264,139.997,-0.0772195,-1,11,0
94.0971,66.7924,84.8568,104.741,78.0187,-0.644163,94.7731,1.55749,1,13,34.3185,-1.14858,59.5563,-2.60392,-1,13,32.583,-2.14824,141.515,-1.73785,1,11,1.21116
