mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
90.9406,53.1751,59.5521,57.5844,34.2071,1.11702,57.8613,-2.20737,1,11,33.5754,-0.90181,48.1789,2.73792,-1,11,21.651,-1.29431,42.4638,0.432454,1,11,0
91.1414,44.0851,47.9453,41.8127,65.022,-0.765128,85.0015,2.88212,1,11,31.5779,-0.108107,31.7626,0.385523,-1,11,29.1178,-0.530892,33.3186,-0.158859,-1,13,2176.21
90.0568,19.0301,32.4038,39.1912,40.5864,-0.712603,51.3349,-0.405008,1,11,38.3562,0.424754,41.8686,2.25289,-1,11,20.6586,-0.232534,21.2199,1.34353,-1,13,1206.18
92.0569,16.2569,31.0738,47.1696,54.1363,0.59684,64.0682,2.41915,1,11,38.7304,0.363648,41.3196,-0.609022,-1,11,22.9077,0.474295,25.5332,-0.227775,-1,13,1256.48
90.6092,25.968,42.5059,62.9528,48.8843,-0.440049,53.6942,-0.296992,1,11,24.1543,-1.6572,65.6425,2.8019,1,11,23.442,-2.04699,92.2869,2.99832,-1,11,2115.79
83.3437,71.1828,60.7045,43.3476,71.3463,0.752061,92.492,1.3326,1,11,34.526,0.188176,35.1391,-0.487461,-1,11,25.6054,2.32745,132.499,-0.113879,1,11,2165.93
91.0472,119.078,38.4135,74.0825,86.1532,0.599226,102.089,-0.820322,-1,11,73.6812,2.15916,323.434,0.579022,-1,11,53.8728,1.36557,112.411,-1.96287,1,11,2182.68
87.1184,247.622,36.4968,73.4598,170.306,-1.20941,310.799,2.36658,-1,11,126.856,-0.916047,183.908,-1.36253,-1,11,125.474,-0.350083,133.242,-1.74947,1,11,1008.23
87.64,43.3472,42.2378,48.032,49.4569,1.83826,159.368,-0.0868868,1,11,47.9104,1.65551,129.999,2.13243,-1,11,22.1269,1.86084,72.8497,-1.73089,1,11,2080.88
89.9073,171.772,38.8096,42.7095,145.627,0.510503,165.019,2.3917,-1,11,49.1795,2.26048,238.323,-0.814273,1,11,48.1706,0.443537,52.987,-2.76085,1,11,1649.41
89.8399,31.8748,55.2386,56.4706,48.2583,-0.486559,54.0842,-0.764428,1,11,46.8146,-0.340378,49.5528,3.06029,-1,11,21.8466,-1.61431,57.0572,1.91154,1,11,2128.19
91.1937,74.9745,30.953,30.0708,42.8524,-1.8388,138.156,0.88606,1,11,34.9906,0.123171,35.2564,0.338551,-1,11,31.8645,-1.00748,49.4508,-3.1124,1,11,1162.71
93.7246,234.962,49.6285,62.1331,229.639,2.07815,931.746,-0.709625,-1,11,86.1427,2.43446,495.203,2.28735,1,11,21.9615,2.44553,127.634,-2.08177,1,11,1108.02
